"","sessionId","start","label","type"
"1","UFot0hit/",2,"Attempt missed. Mladen Petric (Hamburg) left footed shot from the left side of the box is high and wide to the left. Assisted by Gokhan Tore.",1
"2","UFot0hit/",4,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2
"3","UFot0hit/",4,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2
"4","UFot0hit/",7,"Foul by Sven Bender (Borussia Dortmund).",3
"5","UFot0hit/",7,"Gokhan Tore (Hamburg) wins a free kick in the defensive half.",8
"6","UFot0hit/",9,"Hand ball by Jose Paolo Guerrero (Hamburg).",10
"7","UFot0hit/",10,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2
"8","UFot0hit/",11,"Chris Lowe (Borussia Dortmund) wins a free kick in the defensive half.",8
"9","UFot0hit/",11,"Foul by Gojko Kacar (Hamburg).",3
"10","UFot0hit/",13,"Foul by Gokhan Tore (Hamburg).",3
"11","UFot0hit/",14,"Sven Bender (Borussia Dortmund) wins a free kick on the left wing.",8
"12","UFot0hit/",14,"Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is close, but misses the top right corner. Assisted by Mario Gotze.",1
"13","UFot0hit/",14,"Foul by Gojko Kacar (Hamburg).",3
"14","UFot0hit/",17,"Goal!  Borussia Dortmund 1, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) left footed shot from the left side of the box to the bottom right corner. Assisted by Mario Gotze.",1
"15","UFot0hit/",19,"Attempt blocked. Mats Hummels (Borussia Dortmund) right footed shot from outside the box is blocked.",1
"16","UFot0hit/",20,"Foul by Sven Bender (Borussia Dortmund).",3
"17","UFot0hit/",20,"Mladen Petric (Hamburg) wins a free kick in the attacking half.",8
"18","UFot0hit/",20,"Attempt blocked. Tomas Rincon (Hamburg) right footed shot from outside the box is blocked.",1
"19","UFot0hit/",25,"Shinji Kagawa (Borussia Dortmund) hits the right post with a right footed shot from the centre of the box. Assisted by Lukasz Piszczek.",1
"20","UFot0hit/",25,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2
"21","UFot0hit/",25,"Attempt blocked. Ilkay Gundogan (Borussia Dortmund) left footed shot from outside the box is blocked.",1
"22","UFot0hit/",25,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2
"23","UFot0hit/",26,"Attempt saved. Mats Hummels (Borussia Dortmund) header from the centre of the box is saved in the centre of the goal. Assisted by Chris Lowe with a cross.",1
"24","UFot0hit/",27,"Lukasz Piszczek (Borussia Dortmund) wins a free kick in the defensive half.",8
"25","UFot0hit/",27,"Foul by Gokhan Tore (Hamburg).",3
"26","UFot0hit/",28,"Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from the left side of the box misses to the right. Assisted by Kevin Grosskreutz.",1
"27","UFot0hit/",29,"Goal!  Borussia Dortmund 2, Hamburg 0. Mario Gotze (Borussia Dortmund) right footed shot from the centre of the box to the centre of the goal. Assisted by Robert Lewandowski.",1
"28","UFot0hit/",31,"Foul by Kevin Grosskreutz (Borussia Dortmund).",3
"29","UFot0hit/",31,"Gokhan Tore (Hamburg) wins a free kick on the right wing.",8
"30","UFot0hit/",32,"Roman Weidenfeller (Borussia Dortmund) wins a free kick in the defensive half.",8
"31","UFot0hit/",32,"Corner,  Hamburg. Conceded by Ilkay Gundogan.",2
"32","UFot0hit/",32,"Foul by Gojko Kacar (Hamburg).",3
"33","UFot0hit/",33,"Foul by Robert Lewandowski (Borussia Dortmund).",3
"34","UFot0hit/",33,"Tomas Rincon (Hamburg) wins a free kick in the defensive half.",8
